Time,ang_x_imu,pid_output_ankle,pid_output_hip,zmp_ref,zmp_imu,Xzmp_ft,capture_point,iter
1.20,179.1044769287,0.2130210959,0.2130210959,0.0000000000,-0.00880926,-0.00003430,-0.0096176086,26
1.25,179.0980072021,0.2123462297,0.2123462297,0.0000000000,-0.00868810,-0.00003303,-0.0097336910,27
1.30,179.0977935791,0.2044013010,0.2044013010,0.0000000000,-0.00849927,-0.00003442,-0.0091476199,28
1.35,179.0933685303,0.2097741100,0.2097741100,0.0000000000,-0.00844721,-0.00003324,-0.0097687950,29
1.40,179.1001129150,0.2174796702,0.2174796702,0.0000000000,-0.00851399,-0.00003370,-0.0104940150,30
1.45,179.1023406982,0.2043113316,0.2043113316,0.0000000000,-0.00838947,-0.00002748,-0.0088510956,31
1.50,179.0973663330,0.1802555826,0.1802555826,0.0000000000,-0.00798261,-0.00002662,-0.0086396427,32
1.55,179.0910339355,0.2102891624,0.2102891624,0.0000000000,-0.00812214,-0.00001582,-0.0103006722,33
1.60,179.0843353271,0.2151192914,0.2151192914,0.0000000000,-0.00827273,-0.00001536,-0.0100943694,34
1.65,179.0831451416,0.2141919078,0.2141919078,0.0000000000,-0.00836081,-0.00001492,-0.0102815474,35
1.70,179.0735321045,0.2092703500,0.2092703500,0.0000000000,-0.00837433,0.00000582,-0.0100477790,36
1.75,179.0692749023,0.2055086692,0.2055086692,0.0000000000,-0.00831923,0.00000567,-0.0097404879,37
1.80,179.0652008057,0.2069365913,0.2069365913,0.0000000000,-0.00830278,0.00000679,-0.0102583225,38
1.85,179.0756072998,0.1971676895,0.1971676895,0.0000000000,-0.00818425,0.00003017,-0.0104809154,39
1.90,179.0935668945,0.1967450407,0.1967450407,0.0000000000,-0.00808312,0.00002920,-0.0097532203,40
1.95,179.0966796875,0.1938699891,0.1938699891,0.0000000000,-0.00797737,0.00002849,-0.0089823791,41
2.00,179.0923767090,0.1749542194,0.1749542194,0.0000000000,-0.00767530,0.00004851,-0.0080693251,42
2.05,179.0964965820,0.1939887915,0.1939887915,0.0000000000,-0.00771533,0.00004939,-0.0095419234,43
2.10,179.1043395996,0.1814318762,0.1814318762,0.0000000000,-0.00759333,0.00006867,-0.0093880907,44
2.15,179.1049957275,0.2137558998,0.2137558998,0.0000000000,-0.00792853,0.00006715,-0.0104208432,45
2.20,179.1110534668,0.2038521845,0.2038521845,0.0000000000,-0.00802105,0.00006737,-0.0095031424,46
2.25,179.0986022949,0.2164823331,0.2164823331,0.0000000000,-0.00826209,0.00007858,-0.0110998438,47
2.30,179.0973358154,0.2008297772,0.2008297772,0.0000000000,-0.00820627,0.00007831,-0.0091722074,48
2.35,179.1027069092,0.2008147412,0.2008147412,0.0000000000,-0.00817269,0.00008192,-0.0099606305,49
2.40,179.0936279297,0.2069381245,0.2069381245,0.0000000000,-0.00822953,0.00008192,-0.0101542150,50
2.45,179.0927276611,0.2010972184,0.2010972184,0.0000000000,-0.00818677,0.00007915,-0.0092205112,51
2.50,179.1048736572,0.2015067015,0.2015067015,0.0000000000,-0.00816524,0.00007881,-0.0102166481,52
2.55,179.1109161377,0.2161996844,0.2161996844,0.0000000000,-0.00834769,0.00007952,-0.0108066156,53
2.60,179.0989990234,0.1921786582,0.1921786582,0.0000000000,-0.00813990,0.00007085,-0.0087566914,54
2.66,179.1030578613,0.2020757969,0.2020757969,0.0000000000,-0.00813918,0.00007085,-0.0098618546,55
2.71,179.0969390869,0.2122197122,0.2122197122,0.0000000000,-0.00826977,0.00006671,-0.0098111881,56
2.76,179.1100616455,0.2123379697,0.2123379697,0.0000000000,-0.00834552,0.00005114,-0.0098231279,57
2.81,179.1180267334,0.2149549651,0.2149549651,0.0000000000,-0.00843675,0.00004666,-0.0095942126,58
2.86,179.1125030518,0.2121573061,0.2121573061,0.0000000000,-0.00846322,0.00004666,-0.0099395217,59
2.91,179.1047515869,0.1938094258,0.1938094258,0.0000000000,-0.00821899,0.00002936,-0.0088114895,60
2.96,179.0979309082,0.2256598973,0.2256598973,0.0000000000,-0.00848822,0.00002522,-0.0104711856,61
3.01,179.0890502930,0.2445286883,0.2445286883,0.0000000000,-0.00890063,0.00000404,-0.0118997411,62
3.06,179.0883483887,0.2032155094,0.2032155094,0.0000000000,-0.00863328,-0.00000148,-0.0092935248,63
3.11,179.0823211670,0.2276725830,0.2276725830,0.0000000000,-0.00878485,-0.00000148,-0.0114661182,64
3.16,179.0783081055,0.2121558403,0.2121558403,0.0000000000,-0.00866314,-0.00001734,-0.0098899101,65
3.21,179.0685882568,0.2227502238,0.2227502238,0.0000000000,-0.00872865,-0.00002253,-0.0107758957,66
3.26,179.0637359619,0.2082980714,0.2082980714,0.0000000000,-0.00858311,-0.00002253,-0.0091742165,67
3.31,179.0709533691,0.1964523035,0.1964523035,0.0000000000,-0.00830915,-0.00004165,-0.0087168064,68
3.36,179.0661010742,0.1875369503,0.1875369503,0.0000000000,-0.00802057,-0.00004165,-0.0086752503,69
3.41,179.0561370850,0.1950232692,0.1950232692,0.0000000000,-0.00792092,-0.00004887,-0.0090233248,70
3.46,179.0555877686,0.2054007506,0.2054007506,0.0000000000,-0.00799280,-0.00005373,-0.0094046940,71
3.51,179.0572509766,0.2174950711,0.2174950711,0.0000000000,-0.00820512,-0.00005373,-0.0098066538,72
3.56,179.0631103516,0.1916147066,0.1916147066,0.0000000000,-0.00799895,-0.00005638,-0.0086559909,73
3.61,179.0547180176,0.2147091506,0.2147091506,0.0000000000,-0.00816634,-0.00006124,-0.0109079747,74
3.66,179.0470886230,0.2011243137,0.2011243137,0.0000000000,-0.00810390,-0.00005735,-0.0102475326,75
3.71,179.0658874512,0.1952457680,0.1952457680,0.0000000000,-0.00797941,-0.00005930,-0.0087563091,76
3.76,179.0637664795,0.1858586513,0.1858586513,0.0000000000,-0.00777267,-0.00005930,-0.0094418083,77
3.81,179.0707702637,0.2084733767,0.2084733767,0.0000000000,-0.00794272,-0.00005295,-0.0098655071,78
3.86,179.0760650635,0.2059241918,0.2059241918,0.0000000000,-0.00801780,-0.00005295,-0.0102286468,79
3.91,179.0893859863,0.1983630558,0.1983630558,0.0000000000,-0.00797830,-0.00004167,-0.0096778485,80
3.96,179.1074523926,0.2075117394,0.2075117394,0.0000000000,-0.00806707,-0.00004103,-0.0096085525,81
4.01,179.1089477539,0.1999870429,0.1999870429,0.0000000000,-0.00802548,-0.00004103,-0.0098457194,82
4.06,179.1174468994,0.1822122733,0.1822122733,0.0000000000,-0.00777338,-0.00002849,-0.0088070719,83
4.11,179.1155700684,0.2093792114,0.2093792114,0.0000000000,-0.00795833,-0.00002938,-0.0096225663,84
4.16,179.1120452881,0.1933315365,0.1933315365,0.0000000000,-0.00786822,-0.00002938,-0.0090817170,85
4.21,179.1348571777,0.1934483876,0.1934483876,0.0000000000,-0.00782104,-0.00001810,-0.0091037593,86
4.26,179.1382293701,0.1887036138,0.1887036138,0.0000000000,-0.00771885,-0.00001810,-0.0086216670,87
4.31,179.1315917969,0.1869134071,0.1869134071,0.0000000000,-0.00763946,-0.00000555,-0.0083512923,88
4.36,179.1203613281,0.1996889017,0.1996889017,0.0000000000,-0.00774990,-0.00000416,-0.0098529946,89
4.41,179.1093292236,0.1846168581,0.1846168581,0.0000000000,-0.00762164,-0.00000416,-0.0074863418,90
4.46,179.1058349609,0.1700723707,0.1700723707,0.0000000000,-0.00734766,0.00000115,-0.0077768895,91
4.51,179.1011962891,0.1646713531,0.1646713531,0.0000000000,-0.00708963,0.00000115,-0.0086260745,92
4.56,179.1068420410,0.2026402520,0.2026402520,0.0000000000,-0.00742383,0.00000115,-0.0099795178,93
4.61,179.1083679199,0.1661404387,0.1661404387,0.0000000000,-0.00716665,0.00000784,-0.0083867717,94
4.66,179.1103668213,0.1842424509,0.1842424509,0.0000000000,-0.00723215,0.00000784,-0.0088340930,95
4.71,179.0943908691,0.1856482665,0.1856482665,0.0000000000,-0.00729126,0.00000458,-0.0096831242,96
4.76,179.0977783203,0.1905451564,0.1905451564,0.0000000000,-0.00739807,0.00000458,-0.0085926356,97
4.81,179.1014862061,0.2087377435,0.2087377435,0.0000000000,-0.00771171,0.00000458,-0.0098913477,98
4.86,179.1025848389,0.1934100327,0.1934100327,0.0000000000,-0.00771034,-0.00000141,-0.0083600844,99
4.91,179.1163330078,-0.3852890707,-0.3852890707,0.0000000000,0.00000000,-0.00000141,-0.0009055299,100
4.96,179.1178741455,-0.0062452436,-0.0062452436,0.0000000000,0.00008936,-0.00000705,-0.0003064361,101
5.01,179.1203918457,0.0008757696,0.0008757696,0.0000000000,0.00005174,-0.00000859,-0.0016165409,102
5.06,179.1184387207,-0.0089714382,-0.0089714382,0.0000000000,0.00015692,-0.00000859,0.0003953624,103
5.11,179.1187438965,-0.0033209801,-0.0033209801,0.0000000000,0.00016024,-0.00001717,-0.0023348645,104
5.16,179.1120605469,-0.0131067785,-0.0131067785,0.0000000000,0.00028717,-0.00001717,-0.0008081723,105
5.21,179.1124877930,0.0035118235,0.0035118235,0.0000000000,0.00015878,-0.00002574,-0.0011976833,106
5.26,179.1219024658,-0.0018134601,-0.0018134601,0.0000000000,0.00013853,-0.00002574,-0.0015331433,107
5.31,179.1230316162,-0.0002617277,-0.0002617277,0.0000000000,0.00010436,-0.00002574,-0.0019384645,108
5.36,179.1232910156,-0.0067684330,-0.0067684330,0.0000000000,0.00018038,-0.00003779,-0.0014840332,109
5.41,179.1181488037,-0.0141686631,-0.0141686631,0.0000000000,0.00032162,-0.00003779,-0.0003912142,110
5.46,179.1287231445,-0.0036502652,-0.0036502652,0.0000000000,0.00027551,-0.00003779,-0.0013857157,111
5.51,179.1115112305,0.0010842631,0.0010842631,0.0000000000,0.00018727,-0.00004338,-0.0020462668,112
5.56,179.1120452881,-0.0049140963,-0.0049140963,0.0000000000,0.00020472,-0.00004338,-0.0006402363,113
5.61,179.1107177734,-0.0119735317,-0.0119735317,0.0000000000,0.00031537,-0.00004830,-0.0005913174,114
5.66,179.1124877930,0.0031012585,0.0031012585,0.0000000000,0.00018486,-0.00004830,-0.0017008601,115
5.71,179.1072692871,-0.0083500983,-0.0083500983,0.0000000000,0.00025056,-0.00004830,-0.0005692943,116
5.76,179.0975341797,0.0103061989,0.0103061989,0.0000000000,0.00004826,-0.00005090,-0.0019892283,117
5.81,179.0992126465,0.0058548563,0.0058548563,0.0000000000,-0.00002890,-0.00005090,-0.0011887580,118
5.86,179.1091308594,-0.0136391648,-0.0136391648,0.0000000000,0.00018303,-0.00005439,-0.0006597917,119
5.91,179.1196136475,0.0172710930,0.0172710930,0.0000000000,-0.00009577,-0.00004875,-0.0015735690,120
5.96,179.1345520020,0.0252544222,0.0252544222,0.0000000000,-0.00038413,-0.00004875,-0.0025575553,121
